name	term	lev	seq	value
"cytosolic part"	GO:0044445;GO:0044391	2	isogroup10728	0.332935647780161
"cytosolic part"	GO:0044445;GO:0044391	2	isogroup11682	0.911285153601303
"cytosolic part"	GO:0044445;GO:0044391	2	isogroup12717	0
"cytosolic part"	GO:0044445;GO:0044391	2	isogroup13634	0
"cytosolic part"	GO:0044445;GO:0044391	2	isogroup13752	0
"cytosolic part"	GO:0044445;GO:0044391	2	isogroup1387	2.10840267227371
"cytosolic part"	GO:0044445;GO:0044391	2	isogroup15626	0.0900499651257392
"cytosolic part"	GO:0044445;GO:0044391	2	isogroup16068	0
"cytosolic part"	GO:0044445;GO:0044391	2	isogroup16193	0.63810013500333
"cytosolic part"	GO:0044445;GO:0044391	2	isogroup16330	0.000849619122848727
"cytosolic part"	GO:0044445;GO:0044391	2	isogroup17701	0
"cytosolic part"	GO:0044445;GO:0044391	2	isogroup17722	0
"cytosolic part"	GO:0044445;GO:0044391	2	isogroup19485	0.558348534798619
"cytosolic part"	GO:0044445;GO:0044391	2	isogroup19567	0
"cytosolic part"	GO:0044445;GO:0044391	2	isogroup20057	1.74628943590579
"cytosolic part"	GO:0044445;GO:0044391	2	isogroup20855	0
"cytosolic part"	GO:0044445;GO:0044391	2	isogroup21627	0.019769960754724
"cytosolic part"	GO:0044445;GO:0044391	2	isogroup21829	0.441830193345459
"cytosolic part"	GO:0044445;GO:0044391	2	isogroup2195	0.280530090019978
"cytosolic part"	GO:0044445;GO:0044391	2	isogroup22638	0
"cytosolic part"	GO:0044445;GO:0044391	2	isogroup22838	2.36677496115974
"cytosolic part"	GO:0044445;GO:0044391	2	isogroup23820	0.00358228011000957
"cytosolic part"	GO:0044445;GO:0044391	2	isogroup24038	0.678987436749525
"cytosolic part"	GO:0044445;GO:0044391	2	isogroup24215	0.193952740287991
"cytosolic part"	GO:0044445;GO:0044391	2	isogroup25055	0.448519516015119
"cytosolic part"	GO:0044445;GO:0044391	2	isogroup25498	0
"cytosolic part"	GO:0044445;GO:0044391	2	isogroup26413	0.843885140804054
"cytosolic part"	GO:0044445;GO:0044391	2	isogroup28585	0
"cytosolic part"	GO:0044445;GO:0044391	2	isogroup29481	0
"cytosolic part"	GO:0044445;GO:0044391	2	isogroup29745	0.284644209866708
"cytosolic part"	GO:0044445;GO:0044391	2	isogroup30558	0
"cytosolic part"	GO:0044445;GO:0044391	2	isogroup31486	0.250792234467215
"cytosolic part"	GO:0044445;GO:0044391	2	isogroup32918	0.127848763647001
"cytosolic part"	GO:0044445;GO:0044391	2	isogroup35281	0
"cytosolic part"	GO:0044445;GO:0044391	2	isogroup4452	0
"cytosolic part"	GO:0044445;GO:0044391	2	isogroup4874	0
"cytosolic part"	GO:0044445;GO:0044391	2	isogroup5436	0
"cytosolic part"	GO:0044445;GO:0044391	2	isogroup5914	0
"cytosolic part"	GO:0044445;GO:0044391	2	isogroup8147	1.52277611448693
"cytosolic part"	GO:0044445;GO:0044391	2	isogroup8453	0.674163626672534
"cytosolic part"	GO:0044445;GO:0044391	2	isogroup8497	0
"cytosolic part"	GO:0044445;GO:0044391	2	isogroup8596	0
"cytosolic part"	GO:0044445;GO:0044391	2	isogroup1765	0.808779677024742
"cytosolic part"	GO:0044445;GO:0044391	2	isogroup24272	0.0275968619808823
"mitochondrion"	GO:0005739	4	isogroup10048	0
"mitochondrion"	GO:0005739	4	isogroup11480	1.46645321991104
"mitochondrion"	GO:0005739	4	isogroup11940	0.895118867837818
"mitochondrion"	GO:0005739	4	isogroup12099	0.232645635285543
"mitochondrion"	GO:0005739	4	isogroup13222	0.374104027207976
"mitochondrion"	GO:0005739	4	isogroup13829	0
"mitochondrion"	GO:0005739	4	isogroup15469	0
"mitochondrion"	GO:0005739	4	isogroup16393	0
