Amillepora_PRO.fas	Adigitifera_PRO.fas	Aelegantissima_PRO.fas	Ahyacinthus_PRO.fas	Apallida_PRO.fas	Apalmata_PRO.fas	Atenuis_PRO.fas	Fscutaria_PRO.fas	Mauretenra_PRO.fas	Mcavernosa_PRO.fas	Mfaveolata_PRO.fas	Nvectensis_PRO.fas	Pastreoides_PRO.fas	Pcarnosus_PRO.fas	Pdaedalea_PRO.fas	Pdamicornis_PRO.fas	Pstrigosa_PRO.fas	Shystrix_PRO.fas	Spistillata_PRO.fas	Ssiderea_PRO.fas
isotig01446	NA	NA	isotig02214	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	comp689_c0_seq2	NA	NA
c011142	NA	NA	NA	NA	NA	NA	NA	NA	comp79355_c0_seq1	NA	NA	NA	NA	NA	NA	NA	NA	NA	comp257196_c0_seq5
c011145	NA	NA	NA	NA	Contig_1438	NA	comp153071_c0_seq1	NA	comp207287_c0_seq1	NA	NA	NA	NA	NA	NA	comp145955_c0_seq1	NA	NA	comp208738_c0_seq3
c009047p	adi_EST_assem_14804	NA	NA	NA	Contig_4619	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
c027333	adi_EST_assem_7624	NA	isotig14156	NA	Contig_22275	isotig13234	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
c006313	NA	NA	NA	NA	NA	NA	NA	comp577537_c0_seq1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	comp251458_c0_seq2
c014469	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Unigene125404_Mix_Normal_N	NA	NA	NA	NA	Spi_isotig00843	NA
c002446m	NA	NA	NA	NA	Contig_42315	NA	NA	comp60401_c0_seq1	comp35765_c0_seq1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
c011967	NA	NA	NA	NA	NA	isotig13081	comp37126_c0_seq2	comp45269_c0_seq1	comp85183_c0_seq2	NA	NA	NA	NA	NA	NA	comp74148_c0_seq1	NA	NA	NA
c012306	adi_EST_assem_19091	NA	NA	NA	NA	NA	comp8358_c0_seq1	comp30300_c0_seq1	comp60693_c0_seq1	NA	NA	isotig06217	NA	NA	NA	comp27255_c0_seq1	NA	NA	comp251080_c0_seq4
c012302	NA	NA	NA	NA	Contig_42314	NA	NA	comp15052_c0_seq1	comp4825_c0_seq3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
c012309	adi_EST_assem_8074	NA	NA	NA	Contig_38829	NA	comp17918_c0_seq1	comp34912_c0_seq1	comp27560_c0_seq1	NA	NA	NA	Unigene8824_Mix_Normal_N	NA	NA	comp20534_c0_seq1	comp16226_c0_seq1	NA	comp118147_c0_seq1
c021593	adi_EST_assem_2351	NA	NA	NA	NA	NA	comp71124_c0_seq1	comp76449_c0_seq1	comp5975_c0_seq9	NA	NA	NA	Unigene104479_Mix_Normal_N	NA	NA	comp69607_c0_seq2	NA	NA	comp257120_c0_seq2
c021223	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Unigene39256_Mix_Normal_N	NA	NA	NA	NA	NA	comp246573_c0_seq1
c021229	adi_EST_assem_1566	NA	NA	NA	Contig_4798	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
c015268	adi_EST_assem_13579	NA	NA	NA	Contig_18203	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
c011605	NA	NA	NA	NA	NA	NA	comp17546_c0_seq1	NA	comp2127_c0_seq2	NA	NA	NA	Unigene135846_Mix_Normal_N	NA	NA	NA	NA	NA	comp262086_c1_seq1
c027332	adi_EST_assem_6097	NA	NA	NA	Contig_8968	isotig25348	comp4446_c1_seq1	comp2396_c0_seq1	comp16152_c0_seq2	CCHW8313.b1	NA	NA	Unigene16338_Mix_Normal_N	c11638_g1_i1	bu_91849.1_c8483	NA	comp7701_c0_seq2	Spi_isotig14535	comp114288_c0_seq1
c003571	adi_EST_assem_9528	NA	NA	NA	Contig_23118	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
c006319	adi_EST_assem_2080	NA	NA	NA	Contig_41962	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
c014462	adi_EST_assem_19114	NA	NA	NA	Contig_10702	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
c014466	adi_EST_assem_8411	NA	isotig12917	NA	Contig_22018	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
c014464	adi_EST_assem_18916	NA	NA	NA	Contig_40082	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
c011413	adi_EST_assem_3084	comp105548_c0_seq1	NA	Locus_78348_Transcript_1/1_Confidence_0.000_Length_10677	NA	NA	NA	NA	comp7126_c0_seq10	NA	jgi|Nemve1|159317|estExt_gwp.C_70126	NA	NA	NA	NA	NA	NA	NA	comp257963_c0_seq1
c011964	adi_EST_assem_5585	NA	NA	NA	Contig_35955	isotig09684	NA	comp13525_c0_seq2	NA	NA	NA	NA	Unigene148877_Mix_Normal_N	NA	NA	comp6890_c0_seq1	NA	NA	comp248377_c0_seq16
c029625	adi_EST_assem_5784	NA	isotig02057	NA	Contig_20821	isotig14152	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
c021225	NA	NA	NA	NA	Contig_25749	isotig21060	comp209692_c0_seq1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
c036380	NA	NA	NA	NA	NA	NA	NA	NA	comp406337_c0_seq1	NA	NA	NA	NA	NA	NA	NA	NA	NA	comp242270_c0_seq1
c021468	adi_EST_assem_5589	NA	NA	NA	Contig_2940	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
c004794m	NA	NA	NA	NA	NA	NA	NA	comp47928_c0_seq1	comp38464_c0_seq1	CCHW3546.b1	NA	NA	NA	NA	NA	NA	NA	NA	comp250733_c0_seq13
c019997	adi_EST_assem_17210	NA	NA	NA	Contig_37919	isotig01170	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
c026365	adi_EST_assem_8117	NA	isotig01666	NA	NA	isotig13842	NA	comp5149_c0_seq1	comp43304_c0_seq1	NA	NA	NA	Unigene67888_Mix_Normal_N	c16386_g1_i2	bu_91849.1_c21244	comp8999_c0_seq1	comp16772_c0_seq1	Spi_isotig09115	comp259835_c1_seq1
c030263	adi_EST_assem_2032	NA	NA	NA	NA	NA	NA	NA	comp3111_c0_seq1	NA	NA	NA	NA	NA	NA	NA	NA	NA	comp214065_c0_seq3
c002183	adi_EST_assem_4361	NA	NA	NA	NA	NA	comp21701_c0_seq2	NA	comp21225_c0_seq2	NA	NA	NA	Unigene33765_Mix_Normal_N	NA	NA	NA	NA	NA	NA
c024317	NA	NA	NA	NA	NA	isotig10002	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	comp253411_c0_seq1
c005912	adi_EST_assem_8007	NA	NA	NA	NA	NA	comp66375_c0_seq1	NA	comp22413_c0_seq2	NA	NA	NA	Unigene71528_Mix_Normal_N	NA	NA	NA	comp15999_c0_seq1	NA	NA
c006873	NA	NA	NA	NA	NA	NA	comp20309_c0_seq1	NA	comp42658_c0_seq1	NA	NA	NA	NA	NA	NA	NA	NA	NA	comp237278_c0_seq12
c006691	NA	NA	NA	NA	NA	NA	NA	comp45930_c0_seq2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	comp256134_c0_seq8
c008017	adi_EST_assem_756	NA	NA	NA	Contig_10348	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
c028347	adi_EST_assem_16444	NA	NA	NA	Contig_8616	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
c003637	adi_EST_assem_3610	NA	NA	NA	NA	NA	NA	NA	comp90222_c0_seq1	NA	NA	NA	Unigene121644_Mix_Normal_N	NA	NA	NA	NA	NA	comp237756_c0_seq2
c003635	adi_EST_assem_7769	NA	NA	NA	Contig_39755	NA	NA	NA	comp15217_c0_seq1	NA	NA	NA	NA	NA	NA	NA	NA	NA	comp259199_c0_seq2
c003633	adi_EST_assem_15927	NA	NA	NA	NA	NA	comp14324_c0_seq1	NA	comp14421_c0_seq2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
c007524	adi_EST_assem_3958	NA	NA	NA	NA	NA	NA	NA	comp17067_c0_seq3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
c012663	adi_EST_assem_8432	NA	NA	NA	NA	NA	comp78450_c0_seq1	NA	NA	NA	NA	NA	CL1379.Contig1_Mix_Normal_N	c17918_g4_i1	bu_91849.1_c3889	comp32377_c0_seq1	NA	NA	NA
c007528	adi_EST_assem_2027	NA	NA	NA	NA	NA	comp5_c0_seq4	NA	comp7622_c0_seq7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
